system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,img_exists,.geo
43,21304.24313725487,0.005304107696855757,113.0,Harris,2018-01-17,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,21304.24313725487,0.005633601112693751,120.01960784313725,Harris,2018-01-18,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,21304.24313725487,0.6057279945337238,12904.576470588243,Harris,2018-01-19,Texas-1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,21304.24313725487,0.005633601112693751,120.01960784313725,Harris,2018-01-18,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,21304.24313725487,0.6057279945337238,12904.576470588243,Harris,2018-01-19,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,21304.24313725487,0.005633601112693751,120.01960784313725,Harris,2018-01-18,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,21304.24313725487,0.6057279945337238,12904.576470588243,Harris,2018-01-19,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,21304.24313725487,0.002735715724125291,58.28235294117647,Harris,2018-05-29,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,21304.24313725487,5.163290678355161E-4,11.0,Harris,2018-05-30,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,21304.24313725487,0.0014551091911728182,31.0,Harris,2018-04-16,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,21304.24313725487,8.206042725171947E-4,17.482352941176472,Harris,2018-04-17,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,11225.623529411798,1.0,11225.623529411798,Dallas,2019-10-21,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,11225.623529411798,0.0,0.0,Dallas,2019-10-22,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,11225.623529411798,0.0,0.0,Dallas,2019-10-23,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,11225.623529411798,0.0,0.0,Dallas,2019-10-24,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,11225.623529411798,1.0,11225.623529411798,Dallas,2019-10-25,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,11225.623529411798,0.9555718814169535,10726.890196078453,Dallas,2019-10-26,Texas-20,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
