NAME,total_pop,median_income,ZCTA5CE20
ZCTA5 01034,2065,104583.0,01034
ZCTA5 01035,5295,112450.0,01035
ZCTA5 01036,4966,110320.0,01036
ZCTA5 01037,582,78047.0,01037
ZCTA5 01038,2469,103125.0,01038
ZCTA5 01039,1728,109167.0,01039
ZCTA5 01040,38210,49007.0,01040
ZCTA5 01050,2714,84333.0,01050
ZCTA5 01053,1885,60875.0,01053
ZCTA5 01054,1793,105833.0,01054
ZCTA5 01056,20883,76395.0,01056
ZCTA5 01057,8215,85614.0,01057
ZCTA5 01060,14724,79604.0,01060
ZCTA5 01062,9491,87409.0,01062
ZCTA5 01063,2089,,01063
ZCTA5 01066,134,20202.0,01066
ZCTA5 01068,1585,93906.0,01068
ZCTA5 01069,8516,71439.0,01069
ZCTA5 01070,571,60313.0,01070
ZCTA5 01071,1259,105417.0,01071
ZCTA5 01072,1413,99000.0,01072
ZCTA5 01073,6185,114531.0,01073
ZCTA5 01074,694,88190.0,01074
ZCTA5 01075,17115,92740.0,01075
ZCTA5 01077,9244,106779.0,01077
ZCTA5 01079,640,,01079
ZCTA5 01080,2674,89335.0,01080
ZCTA5 01081,1716,88636.0,01081
ZCTA5 01082,10533,66607.0,01082
ZCTA5 01083,2539,87511.0,01083
ZCTA5 01084,99,86538.0,01084
ZCTA5 01085,41592,78901.0,01085
ZCTA5 01088,725,51591.0,01088
ZCTA5 01089,28755,67297.0,01089
ZCTA5 01092,1428,69048.0,01092
ZCTA5 01093,145,130781.0,01093
ZCTA5 01094,44,87188.0,01094
ZCTA5 01095,14673,126689.0,01095
ZCTA5 01096,2516,106250.0,01096
ZCTA5 01097,36,,01097
ZCTA5 01098,951,91181.0,01098
ZCTA5 01103,2245,21288.0,01103
ZCTA5 01104,22606,47413.0,01104
ZCTA5 01105,12045,23948.0,01105
ZCTA5 01106,16019,137597.0,01106
ZCTA5 01107,12443,30825.0,01107
ZCTA5 01108,26198,48465.0,01108
ZCTA5 01109,31301,42928.0,01109
ZCTA5 01118,15112,78354.0,01118
ZCTA5 01119,14182,54326.0,01119
ZCTA5 01128,3063,77050.0,01128
ZCTA5 01129,6486,80352.0,01129
ZCTA5 01144,0,,01144
ZCTA5 01151,9467,51410.0,01151
ZCTA5 01201,45188,67262.0,01201
ZCTA5 01220,8149,54677.0,01220
ZCTA5 01222,623,78077.0,01222
ZCTA5 01223,2565,79226.0,01223
ZCTA5 01224,124,,01224
ZCTA5 01225,3239,72485.0,01225
ZCTA5 01226,6332,76198.0,01226
ZCTA5 01229,125,,01229
ZCTA5 01230,9095,73884.0,01230
ZCTA5 01235,2461,71641.0,01235
ZCTA5 01236,1625,113958.0,01236
ZCTA5 01237,2451,86300.0,01237
ZCTA5 01238,5928,77679.0,01238
ZCTA5 01240,4922,82578.0,01240
ZCTA5 01242,255,,01242
ZCTA5 01243,135,79167.0,01243
ZCTA5 01244,158,56842.0,01244
ZCTA5 01245,828,111354.0,01245
ZCTA5 01247,15279,53692.0,01247
ZCTA5 01253,818,102596.0,01253
ZCTA5 01254,961,91667.0,01254
ZCTA5 01255,931,73958.0,01255
ZCTA5 01256,620,54219.0,01256
ZCTA5 01257,2230,78940.0,01257
ZCTA5 01258,188,117917.0,01258
ZCTA5 01259,733,120568.0,01259
ZCTA5 01260,20,,01260
ZCTA5 01262,1785,75804.0,01262
ZCTA5 01264,207,78750.0,01264
ZCTA5 01266,952,85714.0,01266
ZCTA5 01267,8142,101823.0,01267
ZCTA5 01270,999,100833.0,01270
ZCTA5 01301,17880,53536.0,01301
ZCTA5 01330,1607,80560.0,01330
ZCTA5 01331,13845,66985.0,01331
ZCTA5 01337,2470,79000.0,01337
ZCTA5 01338,65,56250.0,01338
ZCTA5 01339,1396,69500.0,01339
ZCTA5 01340,1890,74632.0,01340
ZCTA5 01341,1620,92500.0,01341
ZCTA5 01342,1321,99583.0,01342
ZCTA5 01343,167,76250.0,01343
ZCTA5 01344,1631,70560.0,01344
ZCTA5 01346,409,105944.0,01346
ZCTA5 01347,197,74712.0,01347
ZCTA5 01349,764,70240.0,01349
ZCTA5 01350,103,,01350
ZCTA5 01351,2741,96389.0,01351
ZCTA5 01354,1747,79135.0,01354
ZCTA5 01355,1009,76739.0,01355
ZCTA5 01360,2871,94775.0,01360
ZCTA5 01364,7643,55773.0,01364
ZCTA5 01366,1177,104205.0,01366
ZCTA5 01367,504,78125.0,01367
ZCTA5 01368,1455,98542.0,01368
ZCTA5 01370,3713,74680.0,01370
ZCTA5 01373,4921,96546.0,01373
ZCTA5 01375,3658,59185.0,01375
ZCTA5 01376,4868,53671.0,01376
ZCTA5 01378,814,89643.0,01378
ZCTA5 01379,779,66290.0,01379
ZCTA5 01380,25,,01380
