date,cloud_fraction,usable
2018-08-01,0,True
2018-08-02,0,True
2018-08-03,0,True
2018-08-04,0,True
2018-08-05,0,True
2018-08-06,0,True
2018-08-07,0,True
2018-08-08,0,True
2018-08-09,0,True
2018-08-10,0,True
2018-08-11,0,True
2018-08-12,0,True
2018-08-13,0,True
2018-08-14,0,True
2018-08-15,0,True
2018-08-16,0,True
2018-08-17,0,True
2018-08-18,0,True
2018-08-19,0,True
2018-08-20,0,True
2018-08-21,0,True
2018-08-22,0,True
2018-08-23,0,True
2018-08-24,0,True
2018-08-25,0,True
2018-08-26,0,True
2018-08-27,0,True
2018-08-28,0,True
2018-08-29,0,True
2018-08-30,0,True
2018-08-31,0,True
2018-09-01,0,True
2018-09-02,0,True
2018-09-03,0,True
2018-09-04,0,True
2018-09-05,0,True
2018-09-06,0,True
2018-09-07,0,True
2018-09-08,0,True
2018-09-09,0,True
2018-09-10,0,True
2018-09-11,0,True
2018-09-12,0,True
2018-09-13,0,True
2018-09-14,0,True
2018-09-15,0,True
2018-09-16,0,True
2018-09-17,0,True
2018-09-18,0,True
2018-09-19,0,True
2018-09-20,0,True
2018-09-21,0,True
2018-09-22,0,True
2018-09-23,0,True
2018-09-24,0,True
2018-09-25,0,True
2018-09-26,0,True
2018-09-27,0,True
2018-09-28,0,True
2018-09-29,0,True
2018-09-30,0,True
2018-10-01,0,True
2018-10-02,0,True
2018-10-03,0,True
2018-10-04,0,True
2018-10-05,0,True
2018-10-06,0,True
2018-10-07,0,True
2018-10-08,0,True
2018-10-09,0,True
2018-10-10,0,True
2018-10-11,0,True
2018-10-12,0,True
2018-10-13,0,True
2018-10-14,0,True
2018-10-15,0,True
2018-10-16,0,True
2018-10-17,0,True
2018-10-18,0,True
2018-10-19,0,True
2018-10-20,0,True
2018-10-21,0,True
2018-10-22,0,True
2018-10-23,0,True
2018-10-24,0,True
2018-10-25,0,True
2018-10-26,0,True
2018-10-27,0,True
