date,period,facility_type,buffer_ntl,nonbuffer_ntl,resilience_buffer,resilience_nonbuffer
2018-09-20,pre,clinic,0.0130667295306921,0.10513747483491898,1.0766573090132214,0.8862945668047848
2018-09-20,pre,fire_station,0.012043427675962448,0.10812990367412567,1.1253597669145867,0.8894415309627501
2018-09-20,pre,government,0.014803740195930004,0.10600588470697403,1.0699789005906406,0.8869899454541047
2018-09-20,pre,hospital,0.0033102226443588734,0.10992415249347687,0.9894064564588064,0.8934853309728056
2018-09-20,pre,police,0.003976831678301096,0.10932283103466034,1.0616441583814054,0.8913808084558783
2018-09-20,pre,substation,0.016276635229587555,0.10667643696069717,1.0688394062852182,0.8881281529490398
2018-09-20,pre,townhall,0.0015022063162177801,0.1098545491695404,1.031508979887432,0.8911259206682548
2018-09-20,pre,water_works,0.01585964858531952,0.10692191123962402,1.1260540404166284,0.8867175406839878
2018-09-20,pre,_all_combined,0.0478091798722744,0.09198928624391556,1.0697965617224294,0.8671748660104456
2018-09-22,pre,clinic,0.012178342789411545,0.10757973790168762,1.0034570429494387,0.9068825112098005
2018-09-22,pre,fire_station,0.010072331875562668,0.11075800657272339,0.9411769935226295,0.9110594533526667
2018-09-22,pre,government,0.013436511158943176,0.10816827416419983,0.9711588590005455,0.9050834476404891
2018-09-22,pre,hospital,0.0037669583689421415,0.11205371469259262,1.1259221302815865,0.9107948352368209
2018-09-22,pre,police,0.0038643418811261654,0.11150098592042923,1.0316141883678664,0.9091407351303278
2018-09-22,pre,substation,0.0143387196585536,0.10903111845254898,0.9415821139051825,0.9077319097272317
2018-09-22,pre,townhall,0.0014391286531463265,0.11237584054470062,0.9881959041893229,0.9115783108054631
2018-09-22,pre,water_works,0.013093535788357258,0.11007159948348999,0.9296567195988958,0.9128383215524005
2018-09-22,pre,_all_combined,0.043585535138845444,0.09498760849237442,0.9752866658022175,0.8954397846790089
2018-09-23,pre,clinic,0.01094526145607233,0.09872420132160187,0.9018550294517954,0.832231546181446
2018-09-23,pre,fire_station,0.008928284049034119,0.10203458368778229,0.8342750856902797,0.8393034049111462
