event_id,event_name,facility_type,n_facilities,buffer_radius,pre_buffer_ntl,pre_nonbuffer_ntl,post_buffer_ntl,post_nonbuffer_ntl,resilience_buffer,resilience_nonbuffer,resilience_advantage
laura_lakecharles,Hurricane Laura (Lake Charles),aerodrome,7,1250,0.15291126864030957,2.0168557465076447,0.1375798759834161,1.9854046068494282,0.8997366721679797,0.9844058556430343,-0.08466918347505459
laura_lakecharles,Hurricane Laura (Lake Charles),clinic,11,750,0.19360403157770634,2.03736212849617,0.16129659196095808,2.0202962794001142,0.833126204276479,0.991623556334262,-0.15849735205778304
laura_lakecharles,Hurricane Laura (Lake Charles),fire_station,9,750,0.10463601350784302,2.0720901116728783,0.09132912279003197,2.047218429190772,0.8728268569137179,0.9879968142591895,-0.11516995734547164
laura_lakecharles,Hurricane Laura (Lake Charles),government,9,750,0.16972115356475115,2.0440130457282066,0.12512042309113203,2.027581882855249,0.7372117173561202,0.9919613219165615,-0.25474960456044127
laura_lakecharles,Hurricane Laura (Lake Charles),hospital,7,750,0.17363205831497908,2.0493949726223946,0.12737155852410648,2.032687320595696,0.7335716673533106,0.9918475197558819,-0.25827585240257134
laura_lakecharles,Hurricane Laura (Lake Charles),plant,9,750,0.3208072632551193,2.0012330561876297,0.3025340000315318,2.0019067488019426,0.9430397459266505,1.0003366387599033,-0.05729689283325279
laura_lakecharles,Hurricane Laura (Lake Charles),police,13,750,0.20846273843199015,2.0423207506537437,0.1684060509774893,2.023708706810361,0.8078472548341337,0.9908868164623871,-0.1830395616282534
laura_lakecharles,Hurricane Laura (Lake Charles),substation,76,750,1.2174057364463806,1.6644842699170113,1.2385533414189778,1.6597913787478493,1.0173710410091603,0.9971805734340788,0.020190467575081472
laura_lakecharles,Hurricane Laura (Lake Charles),townhall,2,750,0.062182198744267225,2.082414858043194,0.05179206914978013,2.05567519248478,0.8329082952306347,0.9871592994762144,-0.1542510042455797
laura_lakecharles,Hurricane Laura (Lake Charles),water_works,2,750,0.039553243201225996,2.0850063785910606,0.0388766826973075,2.059050645147051,0.9828949423824358,0.9875512450654711,-0.004656302683035296
laura_lakecharles,Hurricane Laura (Lake Charles),_all_combined,145,mixed,1.5683071538805962,1.3696602508425713,1.553009562549137,1.3874134009792691,0.9902457938206765,1.0129617181529338,-0.02271592433225733
