osm_id,name,type,lat,lon
255201961,Roney Substation,substation,25.8537669,-80.1210599
255202019,North Bay Village City Hall - Police Chief,police,25.848385,-80.1510369
255449472,Miami Beach Marine Patrol,police,25.7934384,-80.1448707
255449579,FastCare Urgent Care,clinic,25.8140246,-80.1340183
255467080,unnamed,clinic,25.8078622,-80.2979309
278834543,Miami Fire / Rescue Department Support Service Division,fire_station,25.7806792,-80.214277
279187453,unnamed,substation,25.7894626,-80.313147
292085720,Downtown Substation,substation,25.7698521,-80.196905
294746838,Nicklaus Childrens Hospital Hialeah Opentiant center,clinic,25.8663375,-80.3031534
296949744,Miami Beach City Hall,townhall,25.7928273,-80.1353879
308847275,Bell Substation,substation,25.7752197,-80.3268463
310516673,Douglas Substation,substation,25.7475586,-80.2537554
311357063,Miami Fire / Rescue Station 1,fire_station,25.7787972,-80.1911485
319447568,Mount Sinai Medical Center,hospital,25.8134778,-80.1418569
319450775,Miami Jewish Health Systems,hospital,25.8233923,-80.1938026
356348256,Government Center,government,25.7758889,-80.1965196
368386475,Milam Substation,substation,25.8058164,-80.3265233
368546024,Master Substation,substation,25.8776799,-80.2586793
369448621,Doral City Hall,townhall,25.8217926,-80.3341793
375072557,Hialeah Substation,substation,25.8293406,-80.2864796
375087143,Tropical Substation,substation,25.7539515,-80.3494512
375087147,Railway Substation,substation,25.7846423,-80.2034196
375087152,Miami Substation,substation,25.7967714,-80.1937098
375098720,Biscayne Substation,substation,25.8909385,-80.2063986
375769352,Industrial Substation,substation,25.8283998,-80.2576216
375769361,Seminola Substation,substation,25.8402765,-80.2936066
375788356,Center for Haitian Studies,clinic,25.8509136,-80.1932388
376950004,unnamed,substation,25.8970396,-80.3284604
376950008,Roselawn Substation,substation,25.8557643,-80.3122087
376954215,Opa Locka Substation,substation,25.8978103,-80.2360089
377577024,South Miami Substation,substation,25.7087656,-80.2874221
377577026,Bird Substation,substation,25.7340707,-80.2942959
377595842,University Substation,substation,25.7168105,-80.2757402
377595846,62nd Avenue Substation,substation,25.7548977,-80.2959217
377608111,unnamed,substation,25.7840515,-80.3123485
377712009,Key Biscayne Substation,substation,25.7006738,-80.1622675
378095133,Tamiami Substation,substation,25.763954,-80.2650187
378095138,Market Substation,substation,25.7964683,-80.2187037
378095139,Buena Vista Substation,substation,25.8143604,-80.2023621
378095140,Gladeview Substation,substation,25.8367106,-80.2378031
378095143,Miramar Substation,substation,25.7988941,-80.1975351
378095145,Natoma Substation,substation,25.7570731,-80.2393141
378095147,Railway Substation,substation,25.7840518,-80.2033257
378122061,8th Street Cable Terminal,substation,25.7633549,-80.3051436
378123852,Venetian Substation,substation,25.7949163,-80.1422371
378460830,Hialeah Substation,substation,25.8826611,-80.3279171
