osm_id,name,type,lat,lon
215048736,NASA Substation,substation,30.0358509,-89.9079129
215048738,Pauger Substation,substation,30.0005642,-90.0622452
215048740,Pontchartrain Park Substation,substation,30.0140302,-90.0457001
215048742,Tricou Substation,substation,29.974592,-90.0023107
215048743,unnamed,substation,29.9622273,-90.0557522
215048763,unnamed,substation,29.9534661,-89.9575806
215078245,Lakeshore Substation,substation,30.0138614,-90.160966
215115532,Ochsner Medical Center,hospital,29.9609679,-90.1455925
216634003,unnamed,substation,29.9462816,-90.1497384
262766647,unnamed,substation,30.0152174,-90.0317307
262766648,unnamed,substation,29.9227021,-89.9775774
318497050,New Orleans Fire Department Engine 37,fire_station,30.0311371,-89.9260801
324014284,New Orleans Fire Department Engine 10,fire_station,30.0630172,-89.948739
326130669,Oschner Health Center,clinic,30.0201528,-90.07598
328022462,Port of New Orleans,government,29.9370917,-90.0614384
328566416,Touro Ambulatory Surgery Center,clinic,29.9267159,-90.0926274
328587104,unnamed,clinic,29.9398082,-90.1027368
329144018,New Orleans Police Department Headquarters,police,29.9607397,-90.0933391
329144292,New Orleans District Attorney Office,government,29.9620803,-90.0932764
329157778,Southeast Louisiana Veterans Health Care System,hospital,29.9615183,-90.0851361
340101346,Common Ground Health Clinic,clinic,29.9411006,-90.0517347
340385859,Joliet Substation,substation,29.9644663,-90.1185854
342552004,New Orleans Police Department 4th District Station,police,29.9497251,-90.0318692
372877402,New Orleans Sewerage & Water Board,government,29.9872645,-90.045228
419562308,Nine Mile Point Power Plant,plant,29.9461767,-90.1483939
473268014,New Orleans East Hospital,hospital,30.029192,-89.9748993
485365854,unnamed,substation,29.9449283,-90.0655661
489933144,Tulane Lakeside Hospital for Women and Children,hospital,29.9972375,-90.1866108
489933159,East Jefferson General Hospital,hospital,30.0137285,-90.1811165
489939742,Ochsner Health Center - Elmwood,hospital,29.9632746,-90.1842755
489965081,Childrens Hospital,hospital,29.9177843,-90.1276845
489976547,Seaside Behavioral Center,hospital,29.924934,-90.0932279
490092403,University Medical Center,hospital,29.9594849,-90.0821264
