date,period,facility_type,buffer_ntl,nonbuffer_ntl,resilience_buffer,resilience_nonbuffer
2017-08-29,pre,aerodrome,0.3038615584373474,6.45038366317749,1.0029088731269042,1.058917495595838
2017-08-29,pre,clinic,1.3448152542114258,6.255990505218506,1.0296023282566527,1.0572093126512487
2017-08-29,pre,fire_station,2.178950309753418,6.081617832183838,1.0196787981605504,1.0622513623313337
2017-08-29,pre,government,1.2619845867156982,6.271198749542236,1.0086273304833686,1.0622590650444783
2017-08-29,pre,hospital,1.2569348812103271,6.276335716247559,1.0180176444301057,1.0612415949697405
2017-08-29,pre,plant,0.09243141114711761,6.548638343811035,0.9278911051242976,1.0558698542488563
2017-08-29,pre,police,2.190819501876831,5.934276103973389,1.0383795744073039,1.0634824037933737
2017-08-29,pre,substation,2.8202037811279297,5.845160007476807,1.0499683756817226,1.0606711204778632
2017-08-29,pre,townhall,0.4754209518432617,6.464411735534668,0.9940995188807793,1.0586890873716943
2017-08-29,pre,water_works,0.06861910223960876,6.559929370880127,1.0802023076101672,1.05560037334585
2017-08-29,pre,_all_combined,5.102719306945801,4.096638202667236,1.0380819676297648,1.093197849480563
2017-08-30,pre,aerodrome,0.3617863655090332,6.730928897857666,1.1940923294519197,1.1049727804938123
2017-08-30,pre,clinic,1.5026823282241821,6.5624895095825195,1.1504667417510621,1.109005043712809
2017-08-30,pre,fire_station,2.49482798576355,6.342206001281738,1.1674994104976022,1.1077672341387987
2017-08-30,pre,government,1.4494019746780396,6.558184623718262,1.1584186208814407,1.1108707194599041
2017-08-30,pre,hospital,1.4321348667144775,6.563114643096924,1.159915748471407,1.109731946584534
2017-08-30,pre,plant,0.11939428746700287,6.850711345672607,1.1985633018948028,1.1045746016639466
2017-08-30,pre,police,2.4640352725982666,6.191548824310303,1.167875261057914,1.109588281959569
2017-08-30,pre,substation,3.1229069232940674,6.08819055557251,1.1626654540349821,1.1047717923892029
2017-08-30,pre,townhall,0.5640178918838501,6.750189781188965,1.1793546598820004,1.1054915050892271
2017-08-30,pre,water_works,0.07577860355377197,6.863200664520264,1.19290721904856,1.104401705295047
2017-08-30,pre,_all_combined,5.667726993560791,4.204779624938965,1.1530254430133424,1.122055650540528
2017-08-31,pre,aerodrome,0.34255877137184143,5.634609222412109,1.1306307818042316,0.9249971161434255
2017-08-31,pre,clinic,1.323387622833252,5.477765083312988,1.0131971461419318,0.9256958196729337
2017-08-31,pre,fire_station,2.1635985374450684,5.297296047210693,1.0124946615297412,0.9252570776551634
2017-08-31,pre,government,1.2818564176559448,5.460184574127197,1.0245096732663657,0.9248838686712039
2017-08-31,pre,hospital,1.2353624105453491,5.472985744476318,1.0005456527627636,0.925406221607794
2017-08-31,pre,plant,0.10467581450939178,5.744312763214111,1.0508089836507313,0.9261844007291762
2017-08-31,pre,police,2.0913314819335938,5.168471813201904,0.9912253804087643,0.9262425157740699
2017-08-31,pre,substation,2.6514532566070557,5.1234259605407715,0.9871421659899685,0.9297042249144478
2017-08-31,pre,townhall,0.4914303123950958,5.643672943115234,1.0275749001412462,0.9242751238642771
2017-08-31,pre,water_works,0.053178247064352036,5.760550498962402,0.8371322753974898,0.9269671841857783
2017-08-31,pre,_all_combined,4.853366374969482,3.4315803050994873,0.9873543522761468,0.9157255350038374
2017-09-03,pre,aerodrome,0.31521645188331604,5.66198205947876,1.040386214614049,0.9294907366143188
2017-09-03,pre,clinic,1.3129918575286865,5.519159317016602,1.0052380572424928,0.9326910939344623
2017-09-03,pre,fire_station,2.128127098083496,5.321356296539307,0.9958951665824122,0.9294595831944129
2017-09-03,pre,government,1.2712727785110474,5.492205619812012,1.0160508158366577,0.9303078150982536
2017-09-03,pre,hospital,1.236918330192566,5.515686511993408,1.0018058243737678,0.9326263310275242
2017-09-03,pre,plant,0.10539958626031876,5.776238918304443,1.0580747103283914,0.9313320150807632
2017-09-03,pre,police,2.0766260623931885,5.2105584144592285,0.9842554738186662,0.933784861139946
2017-09-03,pre,substation,2.642214298248291,5.136954307556152,0.9837024804729654,0.9321590981717517
2017-09-03,pre,townhall,0.4858996570110321,5.687101364135742,1.0160103659424973,0.9313874795274321
2017-09-03,pre,water_works,0.05923629552125931,5.7892842292785645,0.932498109533806,0.9315909133045707
2017-09-03,pre,_all_combined,4.799171447753906,3.5067436695098877,0.9763290982311285,0.9357830612651693
2017-09-04,pre,aerodrome,0.3252515196800232,6.82171630859375,1.073507411607524,1.1198767587109666
2017-09-04,pre,clinic,1.4466105699539185,6.635942459106445,1.1075377128872719,1.1214179689264292
2017-09-04,pre,fire_station,2.3704280853271484,6.4413957595825195,1.1092842504728484,1.1250923043407988
2017-09-04,pre,government,1.2981200218200684,6.637765884399414,1.0375081803993167,1.1243507444028853
2017-09-04,pre,hospital,1.384961485862732,6.626296520233154,1.1217090483691268,1.1204151284754675
2017-09-04,pre,plant,0.10993988066911697,6.942007064819336,1.1036533588017337,1.1192946690440766
2017-09-04,pre,police,2.328827142715454,6.2584686279296875,1.1037908578271383,1.121580988798213
2017-09-04,pre,substation,2.989856004714966,6.184823989868164,1.1131302900165905,1.1223070340077193
2017-09-04,pre,townhall,0.5158642530441284,6.8457417488098145,1.0786659775314844,1.1211402337803489
2017-09-04,pre,water_works,0.07750631123781204,6.952430248260498,1.2201048034858952,1.1187602107886891
2017-09-04,pre,_all_combined,5.404974460601807,4.269406795501709,1.099571852877101,1.1393015678956915
2017-09-05,pre,aerodrome,0.2697213292121887,6.223501205444336,0.8902274961321309,1.0216716794579694
2017-09-05,pre,clinic,1.2141399383544922,6.039375305175781,0.9295561627847521,1.0206031818465502
2017-09-05,pre,fire_station,2.044696569442749,5.84072732925415,0.956852357394201,1.0201760014700192
2017-09-05,pre,government,1.190666913986206,6.012200355529785,0.9516274632752919,1.0183881238003072
2017-09-05,pre,hospital,1.1400463581085205,6.0241594314575195,0.923347203878378,1.0186020717219104
2017-09-05,pre,plant,0.09756003320217133,6.321177005767822,0.9793757976911387,1.0191951201686156
2017-09-05,pre,police,2.03279709815979,5.6694135665893555,0.9634819225569575,1.0160163535124669
2017-09-05,pre,substation,2.6116435527801514,5.604382038116455,0.9723209213894143,1.0169792047354107
2017-09-05,pre,townhall,0.42872169613838196,6.247061252593994,0.89645193425431,1.0230931826183862
2017-09-05,pre,water_works,0.0589393712580204,6.337349891662598,0.9278239260503768,1.0197836795862913
2017-09-05,pre,_all_combined,4.691354274749756,3.7883670330047607,0.9543950947392887,1.0109349394895217
2017-09-06,pre,aerodrome,0.25596296787261963,5.3916215896606445,0.8448173997115761,0.8851074182634713
2017-09-06,pre,clinic,1.142246127128601,5.214544296264648,0.8745136317057698,0.8812137401175434
2017-09-06,pre,fire_station,1.8259575366973877,5.046634674072266,0.8544895118432017,0.8814750787779789
2017-09-06,pre,government,1.1223801374435425,5.194528579711914,0.8970500065800482,0.8798852169745663
2017-09-06,pre,hospital,1.0797985792160034,5.22236442565918,0.8745512774806261,0.8830296216075098
2017-09-06,pre,plant,0.07416126132011414,5.505434036254883,0.7444825722092031,0.8876687836839984
2017-09-06,pre,police,1.819591760635376,4.905219078063965,0.8624292947844241,0.879064958366146
2017-09-06,pre,substation,2.312305212020874,4.849320888519287,0.8608765663646227,0.8799647253117336
2017-09-06,pre,townhall,0.4329477846622467,5.392420291900635,0.9052886347657898,0.8831269961000882
2017-09-06,pre,water_works,0.05600212514400482,5.512852191925049,0.8815857805949092,0.8871084584887539
2017-09-06,pre,_all_combined,4.38377571105957,3.189800500869751,0.8918222308622524,0.8512060072945828
2017-09-08,pre,aerodrome,0.24948285520076752,5.817164421081543,0.8234294935516642,0.9549660147201982
2017-09-08,pre,clinic,1.1623276472091675,5.634388446807861,0.8898882192300672,0.9521638391380236
