event_id,event_name,facility_type,n_facilities,buffer_radius,pre_buffer_ntl,pre_nonbuffer_ntl,post_buffer_ntl,post_nonbuffer_ntl,resilience_buffer,resilience_nonbuffer,resilience_advantage
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),aerodrome,3,1250,0.2001528650522232,3.5922065019607543,0.18187263402445564,3.1840348408139985,0.9086686517177859,0.8863729963954018,0.02229565532238409
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),clinic,113,750,1.7092799246311188,3.0563979744911194,1.4693838851205234,2.712559856217483,0.8596508178364245,0.8875021770255935,-0.027851359189169034
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),fire_station,12,750,0.5275327578186989,3.5962681651115416,0.4621477836164935,3.187558050813346,0.8760551392626944,0.8863516024018417,-0.010296463139147338
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),government,120,750,1.6025329649448394,3.0056190371513365,1.37817068757682,2.6535439491271973,0.859995218647036,0.8828610400479,-0.022865821400864017
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),hospital,28,750,1.139047807455063,3.4245028495788574,0.9788058831773955,3.0297174782588563,0.8593194041295853,0.8847174645018762,-0.025398060372290865
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),plant,7,750,0.20985645577311515,3.6446868062019346,0.188735565748708,3.229897926593649,0.8993555383054699,0.8861935464790924,0.01316199182637745
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),police,45,750,1.467307710647583,3.336761546134949,1.2692172198460019,2.9519291170712174,0.8649973080873707,0.884668885162174,-0.01967157707480327
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),public_building,1,750,0.03534418428316712,3.6947611808776855,0.030771864899273575,3.274523381529183,0.8706344628790559,0.8862611739228364,-0.01562671104378055
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),substation,95,750,2.182799571752548,2.83642578125,1.8882987704770318,2.4982098464308113,0.8650811530812862,0.8807598150267346,-0.015678661945448424
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),townhall,8,750,0.2225031852722168,3.6470197677612304,0.18865042873497667,3.2293883603194664,0.847854957690499,0.8854869361736054,-0.0376319784831064
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),water_works,2,750,0.059397540614008905,3.689148187637329,0.04874754954000999,3.269841638104669,0.8206997972658968,0.8863405512042606,-0.06564075393836377
earthquake_sanjuan,Puerto Rico Earthquake (San Juan),_all_combined,434,mixed,3.0663957476615904,1.8046507775783538,2.652642455594293,1.5842343116628712,0.8650685279671344,0.8778619837954146,-0.012793455828280176
