event_id,event_name,facility_type,n_facilities,buffer_radius,pre_buffer_ntl,pre_nonbuffer_ntl,post_buffer_ntl,post_nonbuffer_ntl,resilience_buffer,resilience_nonbuffer,resilience_advantage
irma_miami,Hurricane Irma (Miami),aerodrome,4,1250,0.30298022739589214,6.091488420963287,0.2714102742848573,5.5665910862110275,0.8958019360458671,0.9138310215043873,-0.018029085458520222
irma_miami,Hurricane Irma (Miami),clinic,36,750,1.3061501681804657,5.917456865310669,1.2277082867092557,5.385078571460865,0.9399442090334195,0.9100325856246265,0.029911623408792942
irma_miami,Hurricane Irma (Miami),fire_station,53,750,2.136898711323738,5.725215375423431,1.9588868529708297,5.2152940432230634,0.9166961646756593,0.9109341223407417,0.005762042334917616
irma_miami,Hurricane Irma (Miami),government,32,750,1.2511901557445526,5.903643429279327,1.1970189809799194,5.372043344709608,0.9567042831052349,0.9099538969556952,0.04675038614953975
irma_miami,Hurricane Irma (Miami),hospital,40,750,1.2346886992454529,5.9141440987586975,1.171126952877751,5.381281817400897,0.9485200225720493,0.9099003554090538,0.038619667162995475
irma_miami,Hurricane Irma (Miami),plant,2,750,0.09961450286209583,6.202126443386078,0.09152958576601965,5.655882411532932,0.9188379516658456,0.9119263309383738,0.006911620727471757
irma_miami,Hurricane Irma (Miami),police,75,750,2.1098445653915405,5.5800416469573975,1.9701116879781086,5.070556040163393,0.9337710086773616,0.9086950171650047,0.025075991512356954
irma_miami,Hurricane Irma (Miami),substation,68,750,2.685989260673523,5.510812819004059,2.4736383667698614,5.00556919309828,0.9209412721738083,0.9083177668159143,0.012623505357894027
irma_miami,Hurricane Irma (Miami),townhall,16,750,0.47824281454086304,6.106053054332733,0.45968951008937975,5.55924164807355,0.9612052624997715,0.9104476490142552,0.05075761348551622
irma_miami,Hurricane Irma (Miami),water_works,2,750,0.06352430628612638,6.214406073093414,0.05931626701796496,5.666728302284524,0.9337570213013024,0.9118696518432907,0.02188736945801173
irma_miami,Hurricane Irma (Miami),_all_combined,328,mixed,4.915526390075684,3.747389554977417,4.547689340732716,3.3736520166750306,0.925168329868878,0.9002672306096455,0.02490109925923245
